level_0,level_1,level_2,L4_data
0,0,0,5.848216067522854e-06
0,0,1,2.506299766123922e-06
0,0,2,-1.4641885490723122e-06
0,0,3,-3.6303556519382916e-06
0,0,4,-2.7337455047018715e-06
0,0,5,4.6355418531518374e-07
0,0,6,3.359553820846753e-06
0,0,7,3.854127214754743e-06
0,0,8,1.662055135719614e-06
0,0,9,-1.328919960927471e-06
0,0,10,-3.0942347067930882e-06
0,0,11,-2.7229952146945008e-06
0,0,12,-1.1545459005271524e-06
0,0,13,3.9584821429628225e-07
0,0,14,1.1852454384879697e-06
0,0,15,1.6118628030493778e-06
0,0,16,1.9574272185695906e-06
0,0,17,2.3254988792760674e-06
0,0,18,2.3439412294149433e-06
0,0,19,2.338299175328919e-06
0,0,20,2.7806063896857302e-06
0,0,21,4.071092604344315e-06
0,0,22,5.2662124279264e-06
0,0,23,5.140556614208923e-06
0,0,24,2.9988726817030036e-06
0,1,0,-3.888465884488696e-06
0,1,1,-6.339408739737496e-06
0,1,2,-9.637723286695547e-06
0,1,3,-1.2100699130852851e-05
0,1,4,-1.283891618805548e-05
0,1,5,-1.1823817035027072e-05
0,1,6,-1.0341708597139103e-05
0,1,7,-9.485755406080727e-06
0,1,8,-9.891437015596061e-06
0,1,9,-1.080611763530011e-05
0,1,10,-1.1375325271218365e-05
0,1,11,-1.0798076236402163e-05
0,1,12,-9.563830584226932e-06
0,1,13,-8.394059851392203e-06
0,1,14,-8.318476845764328e-06
0,1,15,-9.311694510966337e-06
0,1,16,-1.1087794808247474e-05
0,1,17,-1.255780218945968e-05
0,1,18,-1.3214786375687619e-05
0,1,19,-1.2562713635582949e-05
0,1,20,-1.1210217359116469e-05
0,1,21,-9.825117319566352e-06
0,1,22,-9.733605897297981e-06
0,1,23,-1.1298955486575627e-05
0,1,24,-1.4466746406749576e-05
0,2,0,-8.753870023657079e-06
0,2,1,-1.2997434944800026e-05
0,2,2,-1.368561219762638e-05
0,2,3,-9.929165753000964e-06
0,2,4,-3.874414777198638e-06
0,2,5,7.515235879061944e-07
0,2,6,1.1704503406072327e-06
0,2,7,-2.2907051622298515e-06
0,2,8,-6.810702177151352e-06
0,2,9,-9.319792679872806e-06
0,2,10,-8.98184887298746e-06
0,2,11,-7.187020470710834e-06
0,2,12,-5.966288377288218e-06
0,2,13,-5.8257975398095905e-06
0,2,14,-5.743646716962711e-06
0,2,15,-4.398407690705835e-06
0,2,16,-1.930029075489914e-06
0,2,17,3.34901546952305e-07
0,2,18,1.0273137013117741e-06
0,2,19,2.4138666547289695e-07
0,2,20,-9.602508436150666e-07
0,2,21,-1.6446145944875086e-06
0,2,22,-2.2190426971887935e-06
0,2,23,-3.5256146296871e-06
0,2,24,-5.632309976492066e-06
0,3,0,-7.452935630302263e-06
0,3,1,-9.542938524176658e-06
0,3,2,-1.1184684772854536e-05
0,3,3,-1.162552328251658e-05
0,3,4,-1.0908121842432949e-05
0,3,5,-9.576029579210667e-06
0,3,6,-8.66769665112118e-06
0,3,7,-8.645057579936009e-06
0,3,8,-9.453656901544956e-06
0,3,9,-1.0363365340431187e-05
0,3,10,-1.0981856090051319e-05
0,3,11,-1.1111742037678133e-05
0,3,12,-1.1048050285039435e-05
0,3,13,-1.0758984010811631e-05
0,3,14,-1.0400504201189235e-05
0,3,15,-1.004091822063369e-05
0,3,16,-1.0228136558846382e-05
0,3,17,-1.0914309465553588e-05
0,3,18,-1.1541332592503224e-05
0,3,19,-1.0759296067887366e-05
0,3,20,-8.161784595835776e-06
0,3,21,-4.620168858845213e-06
0,3,22,-2.4720373171824263e-06
0,3,23,-3.1394083215764974e-06
0,3,24,-6.2585815058647e-06
0,4,0,-7.534085725848332e-06
0,4,1,-1.0124067080960468e-05
0,4,2,-1.1717360514502003e-05
0,4,3,-1.1979200001886727e-05
0,4,4,-1.1592511532706872e-05
0,4,5,-1.120130937568218e-05
0,4,6,-1.1405791798710545e-05
0,4,7,-1.2107889290547344e-05
0,4,8,-1.3271526665424056e-05
0,4,9,-1.4559787029102561e-05
0,4,10,-1.589360933878576e-05
0,4,11,-1.6741630088451014e-05
0,4,12,-1.6859364709167508e-05
0,4,13,-1.599416315910999e-05
0,4,14,-1.4825874978748067e-05
0,4,15,-1.4045146635025052e-05
0,4,16,-1.43856450088177e-05
0,4,17,-1.5313593869458723e-05
0,4,18,-1.5950298283297725e-05
0,4,19,-1.5202914079007508e-05
0,4,20,-1.3418571660081762e-05
0,4,21,-1.1600749037352076e-05
0,4,22,-1.1293600459887853e-05
0,4,23,-1.2634189517123496e-05
0,4,24,-1.4948247691125871e-05
0,5,0,1.2020576610603472e-06
0,5,1,-5.571754169146958e-07
0,5,2,-2.1296751385701204e-06
0,5,3,-2.780900481936586e-06
0,5,4,-2.1361117202709717e-06
0,5,5,-2.9211184476139993e-07
0,5,6,1.8825817833707667e-06
0,5,7,3.4308859850430326e-06
0,5,8,3.6257634082953954e-06
0,5,9,2.6353664782490395e-06
0,5,10,1.1464852147021902e-06
0,5,11,1.9146174334152836e-07
0,5,12,2.542527722977063e-07
0,5,13,1.256819495384756e-06
0,5,14,2.3044217147416706e-06
0,5,15,2.5243492000405444e-06
0,5,16,1.3425720812686936e-06
0,5,17,-7.22567114247758e-07
0,5,18,-2.6266556016956038e-06
0,5,19,-3.178907738652102e-06
0,5,20,-2.2946804240221884e-06
0,5,21,-8.890549692085049e-07
0,5,22,-6.839969283388458e-07
0,5,23,-2.611586056483643e-06
0,5,24,-6.375180179068244e-06
0,6,0,6.336347727730084e-06
0,6,1,6.652174295979706e-06
0,6,2,6.787830237970595e-06
0,6,3,6.258538518411073e-06
0,6,4,5.633288168276896e-06
0,6,5,6.167811500764417e-06
0,6,6,8.28730141431213e-06
0,6,7,1.097127139485554e-05
0,6,8,1.2227719748330085e-05
0,6,9,1.0958101560628098e-05
0,6,10,7.968319255841013e-06
0,6,11,5.659329072285868e-06
0,6,12,5.876240492606286e-06
0,6,13,8.419731454531949e-06
0,6,14,1.0927804876947081e-05
0,6,15,1.0927893686047598e-05
0,6,16,7.732182265972951e-06
0,6,17,3.3301951659094076e-06
0,6,18,7.348623160401049e-07
0,6,19,1.9171664509087098e-06
0,6,20,6.103662385549914e-06
0,6,21,1.0531684129843946e-05
0,6,22,1.2184897456250988e-05
0,6,23,1.0061622276396745e-05
0,6,24,5.426619500129368e-06
0,7,0,2.8619546676190975e-06
0,7,1,1.5019676732739166e-06
0,7,2,1.2082012799230137e-06
0,7,3,2.2946264365434773e-06
0,7,4,4.408563705640644e-06
0,7,5,6.688437060256658e-06
0,7,6,8.299035312702631e-06
0,7,7,8.625322360187432e-06
0,7,8,7.58383235071373e-06
0,7,9,5.519157143862028e-06
0,7,10,3.2605710218453414e-06
0,7,11,1.6671428337882696e-06
0,7,12,1.3453866475613044e-06
0,7,13,2.172800789623743e-06
0,7,14,3.5093455256813096e-06
0,7,15,4.49767465176313e-06
0,7,16,4.7856780106744985e-06
0,7,17,4.621720167780208e-06
0,7,18,4.769383349661143e-06
0,7,19,5.702085938202368e-06
0,7,20,7.309814064790455e-06
0,7,21,8.734001588449592e-06
0,7,22,9.119205931098127e-06
0,7,23,8.093349708683065e-06
0,7,24,6.2858943306457294e-06
0,8,0,-6.491497599932449e-06
0,8,1,-7.672592263514108e-06
0,8,2,-8.952897041738621e-06
0,8,3,-9.979844694257324e-06
0,8,4,-1.0636455349078628e-05
0,8,5,-1.0610239004172251e-05
0,8,6,-9.959739224820058e-06
0,8,7,-8.913990853807021e-06
0,8,8,-8.318130153810366e-06
0,8,9,-8.740227421181983e-06
0,8,10,-1.031075578305765e-05
0,8,11,-1.2018441136831377e-05
0,8,12,-1.2774022367999915e-05
0,8,13,-1.1918572993469702e-05
0,8,14,-1.0353086928501084e-05
0,8,15,-9.481107507091651e-06
0,8,16,-1.0459751069128707e-05
0,8,17,-1.2608365461033427e-05
0,8,18,-1.4335176142255649e-05
0,8,19,-1.402109568738972e-05
0,8,20,-1.200027584310514e-05
0,8,21,-9.872175720881977e-06
0,8,22,-9.64649978471544e-06
0,8,23,-1.1446180248912125e-05
0,8,24,-1.3965739666685664e-05
0,9,0,4.378771458567406e-06
0,9,1,5.126171247945508e-06
0,9,2,4.7751520660397775e-06
0,9,3,3.828251758045703e-06
0,9,4,3.4952380529282443e-06
0,9,5,4.5886609157038585e-06
0,9,6,6.510962018426555e-06
0,9,7,7.857158156498587e-06
0,9,8,7.453850955216695e-06
0,9,9,5.424286021725324e-06
0,9,10,2.843983075161152e-06
0,9,11,1.0114670473602414e-06
0,9,12,4.715053863473296e-07
0,9,13,1.0558113027373035e-06
0,9,14,2.0651608515686493e-06
0,9,15,2.832500228356642e-06
0,9,16,2.721310710390435e-06
0,9,17,1.5776907809863239e-06
0,9,18,-2.442168712057005e-07
0,9,19,-1.6838446128953654e-06
0,9,20,-1.8036060942480878e-06
0,9,21,-4.162606387667163e-07
0,9,22,1.3376770316579086e-06
