level_0,level_1,level_2,L3_data
0,0,0,2.5511663455582384e-05
0,0,1,2.5256358468296445e-05
0,0,2,2.2654827765463626e-05
0,0,3,1.981544541284399e-05
0,0,4,1.8976461668090824e-05
0,0,5,2.068763423356243e-05
0,0,6,2.334432491875399e-05
0,0,7,2.4853362262007976e-05
0,0,8,2.437199801735631e-05
0,0,9,2.296102843546864e-05
0,0,10,2.2231337981447243e-05
0,0,11,2.292270263466676e-05
0,0,12,2.4230724863633347e-05
0,0,13,2.4946402730926276e-05
0,0,14,2.4621858067264737e-05
0,0,15,2.4142292216511758e-05
0,0,16,2.470099681024348e-05
0,0,17,2.6831051713529707e-05
0,0,18,2.981481301316827e-05
0,0,19,3.2449765383074763e-05
0,0,20,3.3731982370188105e-05
0,0,21,3.349985055016582e-05
0,0,22,3.202130860561873e-05
0,0,23,2.984344742849032e-05
0,0,24,2.739484238410615e-05
0,1,0,1.1350434027687815e-05
0,1,1,9.668391100536464e-06
0,1,2,6.911565368895628e-06
0,1,3,4.5140241525695854e-06
0,1,4,3.97514167410613e-06
0,1,5,5.9594120542458386e-06
0,1,6,9.206469649531375e-06
0,1,7,1.1603138612065746e-05
0,1,8,1.1339335223752719e-05
0,1,9,8.62364499059043e-06
0,1,10,5.086208460464847e-06
0,1,11,2.884261588626616e-06
0,1,12,2.7896982006481115e-06
0,1,13,4.398940353635129e-06
0,1,14,6.467585720380434e-06
0,1,15,8.502286141496376e-06
0,1,16,1.0467285835606957e-05
0,1,17,1.28330021232054e-05
0,1,18,1.5316456714731562e-05
0,1,19,1.7360484911332256e-05
0,1,20,1.7926882250880226e-05
0,1,21,1.6731074302193114e-05
0,1,22,1.3846016069903962e-05
0,1,23,1.0321900046324981e-05
0,1,24,7.156588818115633e-06
0,2,0,1.180052888862879e-05
0,2,1,9.362525984277627e-06
0,2,2,5.6388356046128e-06
0,2,3,4.4962576866732706e-06
0,2,4,7.6267513519822234e-06
0,2,5,1.3172752409033786e-05
0,2,6,1.7140672640867635e-05
0,2,7,1.688438725255874e-05
0,2,8,1.2983892563824606e-05
0,2,9,8.687170570272216e-06
0,2,10,6.897474557761674e-06
0,2,11,8.142350068160807e-06
0,2,12,1.041195631817568e-05
0,2,13,1.1485577629105798e-05
0,2,14,1.0777009267709537e-05
0,2,15,9.9234966120829e-06
0,2,16,1.0961413577745299e-05
0,2,17,1.4635122506719805e-05
0,2,18,1.9408298809689938e-05
0,2,19,2.2797130991897253e-05
0,2,20,2.289838352272126e-05
0,2,21,1.9901036225029424e-05
0,2,22,1.5494369950556647e-05
0,2,23,1.1869846623804094e-05
0,2,24,1.0108403914458499e-05
0,3,0,1.9759669461823994e-05
0,3,1,1.8345727984702022e-05
0,3,2,1.6100907199909065e-05
