level_0,level_1,level_2,L1_data
0,0,0,1.2241224568038299e-05
0,0,1,1.3250318827266935e-05
0,0,2,1.1771225586500707e-05
0,0,3,7.847942240044056e-06
0,0,4,3.3303170513628103e-06
0,0,5,7.805888346173682e-07
0,0,6,1.408657485660963e-06
0,0,7,4.0184401771351525e-06
0,0,8,5.876626014255675e-06
0,0,9,5.125229453504165e-06
0,0,10,2.331737444227073e-06
0,0,11,-9.61264435287562e-09
0,0,12,1.6294772396777385e-07
0,0,13,2.6871818656475203e-06
0,0,14,5.366563334040162e-06
0,0,15,6.053244842018748e-06
0,0,16,4.41702068388505e-06
0,0,17,2.0767656210863722e-06
0,0,18,9.123431815385444e-07
0,0,19,1.5058875066516818e-06
0,0,20,2.8142541461367448e-06
0,0,21,3.4144162195289237e-06
0,0,22,2.7363967382298953e-06
0,0,23,1.466020143955086e-06
0,0,24,6.450068097363954e-07
0,1,0,-1.2164468923718104e-06
0,1,1,4.95185683953581e-07
0,1,2,-1.3859182528638231e-06
0,1,3,-5.8832993262095e-06
0,1,4,-9.87756638343262e-06
0,1,5,-1.0664978484344088e-05
0,1,6,-8.311088617854619e-06
0,1,7,-5.287681822862932e-06
0,1,8,-4.219969412040918e-06
0,1,9,-5.450799611344608e-06
0,1,10,-7.097726160815686e-06
0,1,11,-6.925375618950112e-06
0,1,12,-4.636830294867957e-06
0,1,13,-1.958704885999106e-06
0,1,14,-1.0004526337363308e-06
0,1,15,-2.127046815124585e-06
0,1,16,-3.893802730525491e-06
0,1,17,-4.457808159088461e-06
0,1,18,-3.5209381949798866e-06
0,1,19,-2.3314614496107534e-06
0,1,20,-2.3945184702232787e-06
0,1,21,-3.675410120572921e-06
0,1,22,-4.734182725985905e-06
0,1,23,-4.0375096082488295e-06
0,1,24,-1.7679438041556448e-06
0,2,0,1.2876349470685255e-05
0,2,1,1.4259587233208947e-05
0,2,2,1.4370111955290227e-05
0,2,3,1.1559199672269559e-05
0,2,4,5.6907814691990665e-06
0,2,5,-7.944862197345045e-07
0,2,6,-4.387158864405179e-06
0,2,7,-3.389639730989302e-06
0,2,8,4.245390766250398e-07
0,2,9,3.355542218506229e-06
0,2,10,3.01486660675416e-06
0,2,11,3.9793999287647777e-07
0,2,12,-1.349013013082594e-06
0,2,13,2.845321943318244e-08
0,2,14,3.789285301177685e-06
0,2,15,7.089032877493384e-06
0,2,16,7.535367323778494e-06
0,2,17,5.162393190070044e-06
0,2,18,2.02655139261102e-06
0,2,19,4.305607890359554e-07
0,2,20,1.2027048095535211e-06
0,2,21,3.5261856882826947e-06
0,2,22,5.700198360158251e-06
0,2,23,6.301993958976242e-06
0,2,24,4.877484513524721e-06
0,3,0,3.5744042788371596e-06
0,3,1,4.209816186856758e-06
0,3,2,4.476009266935402e-06
0,3,3,3.344918860627787e-06
0,3,4,8.902447404074225e-07
0,3,5,-1.4977823418882086e-06
0,3,6,-2.4586113547546546e-06
0,3,7,-1.7503187662066173e-06
0,3,8,-6.261725189577415e-07
0,3,9,-5.558470495105607e-07
0,3,10,-2.1646555171339736e-06
0,3,11,-4.660256072658018e-06
0,3,12,-6.826972749898063e-06
0,3,13,-7.851159619326247e-06
0,3,14,-7.940078740621416e-06
0,3,15,-7.641773620925415e-06
0,3,16,-7.485764166005488e-06
0,3,17,-7.508093649583102e-06
0,3,18,-7.753003844715694e-06
0,3,19,-8.16869376531051e-06
0,3,20,-8.768259713920124e-06
0,3,21,-9.136094578038025e-06
0,3,22,-8.881103482137834e-06
0,3,23,-7.838027938447949e-06
0,3,24,-6.692273376994412e-06
0,4,0,6.2944083883579694e-06
0,4,1,5.9873896465784375e-06
0,4,2,3.869892382995295e-06
0,4,3,4.44744843277645e-07
0,4,4,-3.047295180521866e-06
0,4,5,-5.086990433726299e-06
0,4,6,-5.20304365336901e-06
0,4,7,-4.0234315101912554e-06
0,4,8,-2.968068167279863e-06
0,4,9,-2.776182053273693e-06
0,4,10,-3.3150940703169637e-06
0,4,11,-3.6686567330923933e-06
0,4,12,-3.5039999748824634e-06
0,4,13,-3.126413571889136e-06
0,4,14,-3.413819763336725e-06
0,4,15,-4.521577465326557e-06
0,4,16,-6.0257775415950175e-06
0,4,17,-7.034206417392772e-06
0,4,18,-7.464435166250343e-06
0,4,19,-7.711667656300068e-06
0,4,20,-8.502040199338403e-06
0,4,21,-9.62886740573109e-06
0,4,22,-1.0456222034236077e-05
0,4,23,-1.01245614918623e-05
0,4,24,-8.861067310589343e-06
0,5,0,6.057354385857998e-06
0,5,1,6.192804452584649e-06
0,5,2,4.078911195455266e-06
0,5,3,4.440393315254907e-07
0,5,4,-3.4432558078614884e-06
0,5,5,-6.372817501399318e-06
0,5,6,-7.83553274275587e-06
0,5,7,-7.955807752450247e-06
0,5,8,-7.350450096163772e-06
0,5,9,-6.5318202963674774e-06
0,5,10,-5.776510267855793e-06
0,5,11,-5.028477369545561e-06
0,5,12,-4.368641680996595e-06
0,5,13,-4.033771751325991e-06
0,5,14,-4.403455894786231e-06
0,5,15,-5.402629107759217e-06
0,5,16,-6.494035609132024e-06
0,5,17,-6.876574481462482e-06
0,5,18,-6.38950891326647e-06
0,5,19,-5.624803257925851e-06
0,5,20,-5.65911067305738e-06
0,5,21,-6.886552754102533e-06
0,5,22,-8.687812560585325e-06
0,5,23,-9.643791105588894e-06
0,5,24,-8.87902976253675e-06
0,6,0,2.7068835233720744e-06
0,6,1,-8.041697979396693e-06
0,6,2,-1.818585364089e-05
0,6,3,-2.2316546064226183e-05
0,6,4,-1.8565780590063503e-05
0,6,5,-9.859349715652172e-06
0,6,6,-2.252140380998802e-06
0,6,7,-3.7828035019841103e-07
0,6,8,-4.102155856065327e-06
0,6,9,-8.459559621739174e-06
0,6,10,-8.105380353717348e-06
0,6,11,-1.6291290070354526e-06
0,6,12,7.019640732738628e-06
0,6,13,1.214371082108735e-05
0,6,14,1.0860150747309981e-05
0,6,15,5.4357763056492665e-06
0,6,16,7.025515529738593e-07
0,6,17,6.750782134848215e-08
0,6,18,2.7620756274523473e-06
0,6,19,5.386490409401551e-06
0,6,20,4.842993842278638e-06
0,6,21,1.0077460140920165e-06
0,6,22,-3.895311216385488e-06
0,6,23,-7.006141014854715e-06
0,6,24,-7.173914530122477e-06
0,7,0,2.4920387653739887e-06
0,7,1,4.763267032335315e-06
0,7,2,5.899316555920663e-06
0,7,3,5.126274292499134e-06
0,7,4,2.9315774511243957e-06
0,7,5,7.141230000205118e-07
0,7,6,-3.076631851015027e-07
0,7,7,7.618711930681204e-08
0,7,8,8.326879035579444e-07
0,7,9,6.014580454643268e-07
0,7,10,-1.191873177826284e-06
0,7,11,-3.6344844160619587e-06
0,7,12,-5.0336332625770845e-06
0,7,13,-4.252727386407685e-06
0,7,14,-1.8600417560007744e-06
0,7,15,3.2316401434250354e-07
0,7,16,6.591772545638692e-07
0,7,17,-8.187907652273995e-07
0,7,18,-2.593507615218688e-06
0,7,19,-2.9703230792811003e-06
0,7,20,-1.6710104870639808e-06
0,7,21,1.570412536088337e-07
0,7,22,1.0089523777340607e-06
0,7,23,4.2270385203411827e-07
0,7,24,-9.909660465279558e-07
0,8,0,3.1635953980903523e-06
0,8,1,2.8133903890916183e-06
0,8,2,5.177495312511524e-07
0,8,3,-3.383639335190342e-06
0,8,4,-7.73485532614066e-06
0,8,5,-1.0934553539442733e-05
0,8,6,-1.2160590483161045e-05
0,8,7,-1.1700956614560088e-05
0,8,8,-1.0821943891213669e-05
0,8,9,-1.0427976284081991e-05
0,8,10,-1.0554953290409648e-05
0,8,11,-1.0348045556728484e-05
0,8,12,-9.388117170048544e-06
0,8,13,-8.117047111395779e-06
0,8,14,-7.754691097109804e-06
0,8,15,-8.804162566776925e-06
0,8,16,-1.0608206569342612e-05
0,8,17,-1.1519662343494339e-05
0,8,18,-1.0632244416247274e-05
0,8,19,-8.371935617408156e-06
0,8,20,-6.453621346327965e-06
0,8,21,-6.080765389709505e-06
0,8,22,-7.261291534278991e-06
0,8,23,-8.610014784306717e-06
0,8,24,-8.973471776417388e-06
0,9,0,3.0469730920425846e-06
0,9,1,4.270264626673004e-06
0,9,2,3.968596561153091e-06
0,9,3,2.7871768700024254e-06
0,9,4,1.5474149882777908e-06
0,9,5,6.156519272759638e-07
0,9,6,-5.2067110243223196e-08
0,9,7,-5.273547727255676e-07
0,9,8,-7.022796392523806e-07
0,9,9,-4.019599791302359e-07
0,9,10,4.3630226907338697e-07
0,9,11,1.608444980003177e-06
0,9,12,2.554263346578655e-06
0,9,13,2.453491151270456e-06
0,9,14,7.045368452073337e-07
0,9,15,-2.384950990409643e-06
0,9,16,-5.341226195822261e-06
0,9,17,-6.2873836595106485e-06
0,9,18,-4.406141082760917e-06
0,9,19,-8.394048620733836e-07
0,9,20,1.948783979482107e-06
0,9,21,2.0664320048354573e-06
0,9,22,-3.2750574438162383e-07
0,9,23,-3.3349383411858146e-06
0,9,24,-5.109451822380172e-06
0,10,0,2.0956136524072897e-05
0,10,1,1.3435285866371992e-05
0,10,2,7.885174596542871e-06
0,10,3,7.719422177627901e-06
0,10,4,1.2977182315566166e-05
0,10,5,2.0486653077515156e-05
0,10,6,2.5733339073485797e-05
0,10,7,2.559280576824961e-05
0,10,8,1.9995584965716803e-05
0,10,9,1.1785718896848609e-05
0,10,10,4.600136506919297e-06
0,10,11,7.865907296926524e-07
0,10,12,3.258785231656962e-07
0,10,13,1.7294034794117714e-06
0,10,14,3.5188308680446927e-06
0,10,15,5.336144932822106e-06
0,10,16,7.475455254895055e-06
0,10,17,1.0174018738794046e-05
0,10,18,1.2924816401384274e-05
0,10,19,1.4803708573746078e-05
0,10,20,1.487308606244593e-05
0,10,21,1.2885686510141924e-05
0,10,22,9.493526073631301e-06
0,10,23,6.5760360310400775e-06
0,10,24,6.395964921659216e-06
0,11,0,3.984037285281774e-06
0,11,1,3.4591523351220196e-06
0,11,2,1.8600571882148176e-06
0,11,3,-3.768801767472781e-07
0,11,4,-2.079352977190344e-06
0,11,5,-2.2300656917346526e-06
0,11,6,-7.837246468582884e-07
0,11,7,1.1588823520996752e-06
0,11,8,2.1729474720104497e-06
0,11,9,1.501733529273861e-06
0,11,10,-4.1143573179721567e-07
0,11,11,-2.3791750498792723e-06
0,11,12,-3.335944208014389e-06
0,11,13,-3.0749963456910666e-06
0,11,14,-2.154424802721821e-06
0,11,15,-1.3552304751883512e-06
0,11,16,-1.01826013213541e-06
0,11,17,-1.0025722833574192e-06
0,11,18,-9.446080833184774e-07
0,11,19,-7.154605736729776e-07
0,11,20,-3.973741777354944e-07
0,11,21,-1.0083102720771424e-07
0,11,22,3.00537074359677e-07
0,11,23,9.573873855322956e-07
0,11,24,1.8249248110255317e-06
0,12,0,-4.478056404030412e-06
0,12,1,-5.516656629424285e-06
0,12,2,-6.605978228005929e-06
0,12,3,-7.71850452967398e-06
0,12,4,-8.523033870254667e-06
0,12,5,-8.530923940036338e-06
0,12,6,-7.794347509352552e-06
0,12,7,-6.989531701021696e-06
0,12,8,-7.083916409387516e-06
0,12,9,-8.328160804483902e-06
0,12,10,-1.003108928608266e-05
0,12,11,-1.0961654480102123e-05
0,12,12,-1.0604915794710758e-05
0,12,13,-9.53924945962231e-06
0,12,14,-9.046218065015504e-06
0,12,15,-9.684923415628719e-06
0,12,16,-1.0780503775560234e-05
0,12,17,-1.08031717322749e-05
0,12,18,-8.967228525747605e-06
0,12,19,-5.888773264343407e-06
0,12,20,-3.3182474441349463e-06
0,12,21,-2.4900480778549333e-06
0,12,22,-3.353129160529245e-06
0,12,23,-4.650449606738339e-06
0,12,24,-5.408886750618878e-06
0,13,0,-1.2071158708442564e-07
0,13,1,-1.58013283442323e-06
0,13,2,-3.249385172693745e-06
0,13,3,-4.012403575418773e-06
0,13,4,-3.427582324943563e-06
0,13,5,-2.206475154638587e-06
0,13,6,-1.5726155270755343e-06
0,13,7,-2.315451669760871e-06
0,13,8,-4.038258163107875e-06
0,13,9,-5.476715163586647e-06
0,13,10,-5.375420954930494e-06
0,13,11,-3.5954873470818387e-06
0,13,12,-1.2762430570244542e-06
0,13,13,-1.614126444568112e-07
0,13,14,-1.1851106746578203e-06
0,13,15,-3.723323042207499e-06
0,13,16,-5.8292572415291614e-06
0,13,17,-5.794337014841659e-06
0,13,18,-3.4670291700023697e-06
0,13,19,-5.876720758460016e-07
0,13,20,6.55552650229953e-07
0,13,21,-7.002749619188438e-07
0,13,22,-3.5144344926304614e-06
0,13,23,-5.674719766455231e-06
0,13,24,-5.820959467931534e-06
0,14,0,-2.3399548733601878e-06
0,14,1,4.819867465718505e-06
0,14,2,1.1874318878276796e-05
0,14,3,1.436981799554631e-05
0,14,4,1.1940704337536153e-05
0,14,5,7.555554911869484e-06
0,14,6,4.4151665575370776e-06
0,14,7,3.53802669309244e-06
0,14,8,4.208454176647424e-06
0,14,9,5.5426786900610625e-06
0,14,10,7.521523053632513e-06
0,14,11,1.0260292362408636e-05
0,14,12,1.3078088462398364e-05
0,14,13,1.4457722844852257e-05
0,14,14,1.3330935436878707e-05
0,14,15,9.859272013602438e-06
0,14,16,5.372312756511701e-06
0,14,17,1.2908560014964102e-06
0,14,18,-1.3728076233012253e-06
0,14,19,-2.164689957207094e-06
0,14,20,-9.400881687313765e-07
0,14,21,1.726205460680267e-06
0,14,22,4.400581342225988e-06
0,14,23,5.155644903464543e-06
0,14,24,3.1174146830357948e-06
0,15,0,1.0931385266699488e-05
0,15,1,1.5001439286649788e-05
0,15,2,1.5581254008586333e-05
0,15,3,1.2836740043827314e-05
0,15,4,9.457115181433918e-06
0,15,5,8.399264771830507e-06
0,15,6,1.042139412530823e-05
0,15,7,1.3313944273142049e-05
0,15,8,1.4001326437871251e-05
0,15,9,1.1305805943733738e-05
0,15,10,7.1013082366089785e-06
0,15,11,4.5015576854378e-06
0,15,12,5.07691388260698e-06
0,15,13,7.4083062588391914e-06
0,15,14,8.605500351480798e-06
0,15,15,6.932170790507109e-06
0,15,16,3.3422701436053215e-06
0,15,17,3.0050949266848014e-07
0,15,18,-4.43538719809387e-07
0,15,19,7.169595284164109e-07
0,15,20,2.165168639995299e-06
0,15,21,2.7057494453069375e-06
0,15,22,2.4435481276755975e-06
0,15,23,1.94480299363343e-06
0,15,24,1.3114788404567388e-06
0,16,0,7.601423928363334e-06
0,16,1,8.993016669515564e-06
0,16,2,8.927893261259717e-06
0,16,3,7.603911216157069e-06
0,16,4,6.415781410796237e-06
0,16,5,6.7569226946216095e-06
0,16,6,8.80953572352301e-06
0,16,7,1.1443862082018293e-05
0,16,8,1.3140009565914526e-05
0,16,9,1.3000566529105936e-05
0,16,10,1.1042593058410095e-05
0,16,11,7.926923719494105e-06
0,16,12,4.5997059015038375e-06
