level_0,level_1,level_2,L2_data
0,10,14,-8.979993745257418e-06
0,10,15,-7.52569443622697e-06
0,10,16,-1.8060606315720513e-06
0,10,17,5.307138457840118e-06
0,10,18,1.0711570364762257e-05
0,10,19,1.2915786834320806e-05
0,10,20,1.243466847039289e-05
0,10,21,1.0311803508252493e-05
0,10,22,7.38212996452522e-06
0,10,23,4.080980462320677e-06
0,10,24,1.1790156354612418e-06
0,11,0,-1.293810630658146e-05
0,11,1,-1.1862783974992071e-05
0,11,2,-1.1387800447554215e-05
0,11,3,-1.266782268451539e-05
0,11,4,-1.540072038653532e-05
0,11,5,-1.7903545738082805e-05
0,11,6,-1.8508068794692985e-05
0,11,7,-1.6881745073377883e-05
0,11,8,-1.428562912473517e-05
0,11,9,-1.2444547872554527e-05
0,11,10,-1.226097427658945e-05
0,11,11,-1.3272417161109163e-05
0,11,12,-1.4339072624221323e-05
0,11,13,-1.4529197460509338e-05
0,11,14,-1.3610615023073844e-05
0,11,15,-1.1713626274594368e-05
0,11,16,-8.988418752677571e-06
0,11,17,-5.515266242257277e-06
0,11,18,-1.6947779069410544e-06
0,11,19,1.7017503948851333e-06
0,11,20,3.840909496432924e-06
0,11,21,4.472841866223102e-06
0,11,22,4.014754923444315e-06
0,11,23,3.16603593380912e-06
0,11,24,2.228853794129734e-06
0,12,0,-1.069857696652823e-06
0,12,1,2.5721179538912944e-07
0,12,2,3.175574305519581e-07
0,12,3,-1.327379835634393e-06
0,12,4,-4.103381655654667e-06
0,12,5,-6.766811696583721e-06
0,12,6,-8.421295019526332e-06
0,12,7,-9.102529343267983e-06
0,12,8,-9.611190980301945e-06
0,12,9,-1.0530335278296724e-05
0,12,10,-1.1622033229691962e-05
0,12,11,-1.1944793509558413e-05
0,12,12,-1.0869235293353764e-05
0,12,13,-8.739985968065643e-06
0,12,14,-6.792887182488588e-06
0,12,15,-6.075605541074889e-06
0,12,16,-6.634547601964917e-06
0,12,17,-7.392301220353785e-06
0,12,18,-7.1354977523231244e-06
0,12,19,-5.415682510900603e-06
0,12,20,-2.923351595698302e-06
0,12,21,-7.562931456506981e-07
0,12,22,3.217684472080488e-07
0,12,23,3.7695335688001773e-07
0,12,24,-1.1827689008134509e-07
0,13,0,3.9600549384887145e-06
0,13,1,7.370914124308064e-06
0,13,2,9.451702847998472e-06
0,13,3,8.686679351594093e-06
0,13,4,5.947014794313852e-06
0,13,5,3.578294722546144e-06
0,13,6,3.227761860627595e-06
0,13,7,4.4473059976375585e-06
